id,screenName,userId,timestamp,type,text,userEnteredText,hashtags
1327244650625847297,ED_LaSpezia,1919709684,1605274758,tweet,"#Covid_19 Potenziare il quadro per la sicurezza sanitaria dell'UE e rafforzare il ruolo delle principali agenzie 🇪🇺 nella preparazione e nella risposta alla crisi pandemica.  

#coronavirus #unionedellasalute #HealthUnion https://t.co/Hj77NeYgaZ","#Covid_19 Potenziare il quadro per la sicurezza sanitaria dell'UE e rafforzare il ruolo delle principali agenzie 🇪🇺 nella preparazione e nella risposta alla crisi pandemica.  

#coronavirus #unionedellasalute #HealthUnion https://t.co/Hj77NeYgaZ","['Covid_19', 'coronavirus', 'unionedellasalute', 'HealthUnion']"
1327242233402286080,ED_LaSpezia,1919709684,1605274182,tweet,"Quando leggi un'informazione online:

📌 Controlla il contesto
📌 Controlla l'autore
📌 Controlla la fonte
📌 Pensa prima di condividere

➡️ https://t.co/L9Z0lHAdux
#Coronavirus #FactsMatter #UEVeroFalso https://t.co/3u9f0PbiUQ","Quando leggi un'informazione online:

📌 Controlla il contesto
📌 Controlla l'autore
📌 Controlla la fonte
📌 Pensa prima di condividere

➡️ https://t.co/L9Z0lHAdux
#Coronavirus #FactsMatter #UEVeroFalso https://t.co/3u9f0PbiUQ","['Coronavirus', 'FactsMatter', 'UEVeroFalso']"
1327222962269859842,TgrBasilicata,4846038599,1605269587,tweet,"#coronavirus Su 2269 tamponi processati ieri, 354 i positivi (55 non residenti). 1 decesso. 164 ricoverati, 23 in t.i. 
46 i guariti #IoSeguoTgr @TgrRai","#coronavirus Su 2269 tamponi processati ieri, 354 i positivi (55 non residenti). 1 decesso. 164 ricoverati, 23 in t.i. 
46 i guariti #IoSeguoTgr @TgrRai","['coronavirus', 'IoSeguoTgr']"
1327213471218458625,Lucamont77,231501756,1605267324,quote,"Se fosse vero, Zingaretti dovrebbe solo che dare spiegazioni e poi dimettersi....
#coronavirus https://t.co/REMFXSMq01
Il trucco dei tamponi, ecco la magia contabile del Lazio per restare zona gialla [di Daniele Autieri] [aggiornamento delle 11:21] https://t.co/KQvkmbUrFt","Se fosse vero, Zingaretti dovrebbe solo che dare spiegazioni e poi dimettersi....
#coronavirus https://t.co/REMFXSMq01",['coronavirus']
1327168666497114115,il_Manfry,416302993,1605256642,tweet,"Oggi è #venerdi13 di un anno con una pandemia da #coronavirus in corso e per molti in #lockdown o quasi, più sfiga di così che ci si aspetta? https://t.co/k48Dk4URHK","Oggi è #venerdi13 di un anno con una pandemia da #coronavirus in corso e per molti in #lockdown o quasi, più sfiga di così che ci si aspetta? https://t.co/k48Dk4URHK","['venerdi13', 'coronavirus', 'lockdown']"
1327168117617942528,RockZen,253524987,1605256511,tweet,"Una volta alla settimana faccio girare il modello di machine learning che sintetizza in un indice i dati sull’andamento dell’epidemia #Covid nella nostra sciagurata penisola.

(Qui una sommaria descrizione della metodologia: https://t.co/t3l4RWm20r)

#COVID19 #coronavirus https://t.co/TnxMQLuNTM","Una volta alla settimana faccio girare il modello di machine learning che sintetizza in un indice i dati sull’andamento dell’epidemia #Covid nella nostra sciagurata penisola.

(Qui una sommaria descrizione della metodologia: https://t.co/t3l4RWm20r)

#COVID19 #coronavirus https://t.co/TnxMQLuNTM","['Covid', 'COVID19', 'coronavirus']"
1327154916557791239,LoveMi66833922,1213627820326281216,1605253364,tweet,Scuola: Le aule che non ci piacciono! #COVID19 #COVIDー19 #coronavirus #Dpcm #LockdownLight #andratuttobene https://t.co/0oLfxMFA0L,Scuola: Le aule che non ci piacciono! #COVID19 #COVIDー19 #coronavirus #Dpcm #LockdownLight #andratuttobene https://t.co/0oLfxMFA0L,"['COVID19', 'COVIDー19', 'coronavirus', 'Dpcm', 'LockdownLight', 'andratuttobene']"
1327140789919551494,beltempotv2000,2829488098,1605249996,tweet,"In attesa del vaccino che ci aiuti a combattere il #coronavirus. Quanto ancora c'è da aspettare?! Come dobbiamo fare?!
Ne parliamo con il direttore Microbiologia del Bambin Gesù, prof Carlo Federico Perno https://t.co/uUv3SyOTz5","In attesa del vaccino che ci aiuti a combattere il #coronavirus. Quanto ancora c'è da aspettare?! Come dobbiamo fare?!
Ne parliamo con il direttore Microbiologia del Bambin Gesù, prof Carlo Federico Perno https://t.co/uUv3SyOTz5",['coronavirus']
1327028680527376384,CarloStef48,776138045682806784,1605223267,tweet,"Qualcosa non torna, #COVID19 

ITALIA 636 decessi / 60mln
INDIA 394 / 1.385.000.000 di abitanti
USA 182 / 333.000.000 di abitanti 
GERMANIA 100 / 84.000.000 di abitanti
BRASILE 86 / 213.000.000 di abitanti

il #coronavirus ammazza solo in Italia?","Qualcosa non torna, #COVID19 

ITALIA 636 decessi / 60mln
INDIA 394 / 1.385.000.000 di abitanti
USA 182 / 333.000.000 di abitanti 
GERMANIA 100 / 84.000.000 di abitanti
BRASILE 86 / 213.000.000 di abitanti

il #coronavirus ammazza solo in Italia?","['COVID19', 'coronavirus']"
1327005801601503233,petergomezblog,274093178,1605217812,tweet,"#Coronavirus, in Francia più di 33mila contagi e 425 morti: lockdown prolungato di 2 settimane. Record in Uk: oltre 33mila contagi https://t.co/F8TTiWzZsF via @fattoquotidiano","#Coronavirus, in Francia più di 33mila contagi e 425 morti: lockdown prolungato di 2 settimane. Record in Uk: oltre 33mila contagi https://t.co/F8TTiWzZsF via @fattoquotidiano",['Coronavirus']
